Plate,TEC,loop status,object temperature,target object temperature,output current,output voltage,output power,timestamp
bottom,0,0,22.564437866210938,22.5,-0.00460304319858551,0.02186565287411213,0.00010064854474481355,1713882694214
bottom,1,0,22.565597534179688,22.5,-0.004172058776021004,-0.006716725882142782,2.8022575162721212e-05,1713882694214
bottom,2,0,22.357376098632812,22.5,-0.004997406620532274,0.021789738908410072,0.00010889218548055819,1713882694214
bottom,3,0,22.358169555664062,22.5,-0.004353791009634733,-0.008215329609811306,3.5767828196382485e-05,1713882694214
top,0,0,22.893081665039062,23.100000381469727,-0.0022281650453805923,0.0070915259420871735,1.5801090222568315e-05,1713882694214
top,1,0,22.893081665039062,23.100000381469727,-0.0017431642627343535,-0.020096398890018463,3.5031324354734515e-05,1713882694214
top,2,0,22.789138793945312,23.100000381469727,-0.004661636892706156,0.010241318494081497,4.774130812196416e-05,1713882694214
top,3,0,22.789138793945312,23.100000381469727,-0.003995133098214865,-0.021407701075077057,8.552661512173029e-05,1713882694214
bottom,0,0,22.564620971679688,22.5,-0.004534836392849684,0.021853256970643997,9.910094501277243e-05,1713882695208
bottom,1,0,22.564620971679688,22.5,-0.004127197898924351,-0.006717300973832607,2.7723630465644432e-05,1713882695208
bottom,2,0,22.357498168945312,22.5,-0.005085068289190531,0.021675491705536842,0.00011022135552443777,1713882695208
bottom,3,0,22.357498168945312,22.5,-0.004275513347238302,-0.00818996224552393,3.501629289411534e-05,1713882695208
top,0,0,22.892318725585938,23.100000381469727,-0.002091293688863516,0.0070940051227808,1.4835648142036938e-05,1713882695208
top,1,0,22.892318725585938,23.100000381469727,-0.0017818453488871455,-0.019997790455818176,3.563296991171937e-05,1713882695208
top,2,0,22.787796020507812,23.100000381469727,-0.004628906957805157,0.01026763953268528,4.752794807308218e-05,1713882695208
top,3,0,22.787796020507812,23.100000381469727,-0.003870163345709443,-0.021324727684259415,8.25301794408562e-05,1713882695208
bottom,0,0,22.564559936523438,22.5,-0.004484253469854593,0.02179832197725773,9.774920096352561e-05,1713882696215
bottom,1,0,22.564559936523438,22.5,-0.004250107333064079,-0.006824109237641096,2.9003196712528746e-05,1713882696215
bottom,2,0,22.357589721679688,22.5,-0.00511001655831933,0.021780017763376236,0.00011129625141134171,1713882696215
bottom,3,0,22.357589721679688,22.5,-0.004364319611340761,-0.008195880800485611,3.576944330977057e-05,1713882696215
top,0,0,22.891677856445312,23.100000381469727,-0.0021288301795721054,0.007208250928670168,1.534514211888171e-05,1713882696215
top,1,0,22.891677856445312,23.100000381469727,-0.001826477237045765,-0.02002582512795925,3.6576713749276665e-05,1713882696215
top,2,0,22.787826538085938,23.100000381469727,-0.004686814267188311,0.010421947576105595,4.884573259158033e-05,1713882696215
top,3,0,22.787826538085938,23.100000381469727,-0.003947525285184383,-0.02115669660270214,8.351659479014124e-05,1713882696215
bottom,0,0,22.564895629882812,22.5,-0.004542160779237747,0.02174701727926731,9.877844895129356e-05,1713882697206
bottom,1,0,22.564895629882812,22.5,-0.004191513638943434,-0.006650923751294613,2.7877437615124196e-05,1713882697206
bottom,2,0,22.357955932617188,22.5,-0.005099030211567879,0.02173767425119877,0.00011084105773608369,1713882697206
bottom,3,0,22.357955932617188,22.5,-0.004286271054297686,-0.008300969377160072,3.5580204763932706e-05,1713882697206
top,0,0,22.890060424804688,23.100000381469727,-0.0021173860877752304,0.0072670020163059235,1.538704896916071e-05,1713882697206
top,1,0,22.890060424804688,23.100000381469727,-0.0018022158183157444,-0.020040323957800865,3.6116988840920704e-05,1713882697206
top,2,0,22.786544799804688,23.100000381469727,-0.004651566036045551,0.010414124466478825,4.84419876634239e-05,1713882697206
top,3,0,22.786849975585938,23.100000381469727,-0.003951645456254482,-0.021174050867557526,8.367234190128497e-05,1713882697206
bottom,0,0,22.563491821289062,22.5,-0.004596177022904158,0.021753886714577675,9.998471427640192e-05,1713882698233
